function,function, time_us
,time_us
Tempo por Loop, 24343.00000000
Tempo por Loop, 22819.00000000
Tempo por Loop, 23082.00000000
Tempo por Loop, 25177.00000000
Tempo por Loop, 22397.00000000
Tempo por Loop, 20826.00000000
Tempo por Loop, 27423.00000000
Tempo por Loop, 22255.00000000
Tempo por Loop, 22326.00000000
Tempo por Loop, 25453.00000000
Tempo por Loop, 21276.00000000
Tempo por Loop, 22405.00000000
Tempo por Loop, 25012.00000000
Tempo por Loop, 22523.00000000
Tempo por Loop, 20461.00000000
Tempo por Loop, 22781.00000000
Tempo por Loop, 25438.00000000
Tempo por Loop, 20585.00000000
Tempo por Loop, 22052.00000000
Tempo por Loop, 24051.00000000
Tempo por Loop, 30073.00000000
Tempo por Loop, 21571.00000000
Tempo por Loop, 25857.00000000
Tempo por Loop, 22403.00000000
Tempo por Loop, 20959.00000000
Tempo por Loop, 26450.00000000
Tempo por Loop, 22363.00000000
Tempo por Loop, 22831.00000000
Tempo por Loop, 24468.00000000
Tempo por Loop, 22556.00000000
Tempo por Loop, 22517.00000000
Tempo por Loop, 24299.00000000
Tempo por Loop, 22428.00000000
Tempo por Loop, 24312.00000000
Tempo por Loop, 22894.00000000
Tempo por Loop, 22869.00000000
Tempo por Loop, 24245.00000000
Tempo por Loop, 22897.00000000
Tempo por Loop, 20919.00000000
Tempo por Loop, 22617.00000000
Tempo por Loop, 25055.00000000
Tempo por Loop, 23163.00000000
Tempo por Loop, 22709.00000000
Tempo por Loop, 25047.00000000
Tempo por Loop, 28492.00000000
Tempo por Loop, 24781.00000000
Tempo por Loop, 24475.00000000
Tempo por Loop, 21346.00000000
Tempo por Loop, 25321.00000000
Tempo por Loop, 22099.00000000
Tempo por Loop, 21114.00000000
Tempo por Loop, 22185.00000000
Tempo por Loop, 23700.00000000
Tempo por Loop, 23125.00000000
Tempo por Loop, 24102.00000000
Tempo por Loop, 22876.00000000
Tempo por Loop, 22531.00000000
Tempo por Loop, 24479.00000000
Tempo por Loop, 22569.00000000
Tempo por Loop, 22107.00000000
Tempo por Loop, 25110.00000000
Tempo por Loop, 22736.00000000
Tempo por Loop, 21462.00000000
Tempo por Loop, 26180.00000000
Tempo por Loop, 21727.00000000
Tempo por Loop, 22487.00000000
Tempo por Loop, 24557.00000000
Tempo por Loop, 22664.00000000
Tempo por Loop, 24436.00000000
Tempo por Loop, 24809.00000000
Tempo por Loop, 23623.00000000
Tempo por Loop, 20589.00000000
Tempo por Loop, 26503.00000000
Tempo por Loop, 28068.00000000
Tempo por Loop, 20701.00000000
Tempo por Loop, 25775.00000000
Tempo por Loop, 22372.00000000
Tempo por Loop, 21173.00000000
Tempo por Loop, 24572.00000000
Tempo por Loop, 23051.00000000
Tempo por Loop, 22538.00000000
Tempo por Loop, 24650.00000000
Tempo por Loop, 22858.00000000
Tempo por Loop, 22117.00000000
Tempo por Loop, 26246.00000000
Tempo por Loop, 24443.00000000
Tempo por Loop, 21556.00000000
Tempo por Loop, 24908.00000000
Tempo por Loop, 23256.00000000
Tempo por Loop, 23099.00000000
Tempo por Loop, 21510.00000000
Tempo por Loop, 36890.00000000
Tempo por Loop, 21298.00000000
Tempo por Loop, 24383.00000000
Tempo por Loop, 22907.00000000
Tempo por Loop, 20854.00000000
Tempo por Loop, 26012.00000000
Tempo por Loop, 20780.00000000
Tempo por Loop, 23793.00000000
Tempo por Loop, 23868.00000000
Tempo por Loop, 22605.00000000
Tempo por Loop, 22952.00000000
Tempo por Loop, 20896.00000000
Tempo por Loop, 26243.00000000
Tempo por Loop, 21011.00000000
Tempo por Loop, 25946.00000000
Tempo por Loop, 22374.00000000
Tempo por Loop, 21435.00000000
Tempo por Loop, 26321.00000000
Tempo por Loop, 20990.00000000
Tempo por Loop, 23437.00000000
Tempo por Loop, 25732.00000000
Tempo por Loop, 22828.00000000
Tempo por Loop, 22144.00000000
Tempo por Loop, 25040.00000000
Tempo por Loop, 23770.00000000
Tempo por Loop, 22539.00000000
Tempo por Loop, 25754.00000000
Tempo por Loop, 24651.00000000
Tempo por Loop, 22348.00000000
Tempo por Loop, 26450.00000000
Tempo por Loop, 21076.00000000
Tempo por Loop, 22343.00000000
Tempo por Loop, 23879.00000000
Tempo por Loop, 24991.00000000
Tempo por Loop, 20898.00000000
Tempo por Loop, 21901.00000000
Tempo por Loop, 45207.00000000
Tempo por Loop, 22458.00000000
Tempo por Loop, 26559.00000000
Tempo por Loop, 21112.00000000
Tempo por Loop, 22860.00000000
Tempo por Loop, 24185.00000000
Tempo por Loop, 23008.00000000
Tempo por Loop, 22794.00000000
Tempo por Loop, 21145.00000000
Tempo por Loop, 25917.00000000
Tempo por Loop, 21212.00000000
Tempo por Loop, 25486.00000000
Tempo por Loop, 22622.00000000
Tempo por Loop, 21139.00000000
Tempo por Loop, 25924.00000000
Tempo por Loop, 21721.00000000
Tempo por Loop, 23250.00000000
Tempo por Loop, 24733.00000000
Tempo por Loop, 22117.00000000
Tempo por Loop, 22353.00000000
Tempo por Loop, 21246.00000000
Tempo por Loop, 25490.00000000
Tempo por Loop, 21456.00000000
Tempo por Loop, 30734.00000000
Tempo por Loop, 24457.00000000
Tempo por Loop, 22691.00000000
Tempo por Loop, 35518.00000000
Tempo por Loop, 22659.00000000
Tempo por Loop, 21160.00000000
Tempo por Loop, 25022.00000000
Tempo por Loop, 23055.00000000
Tempo por Loop, 21329.00000000
Tempo por Loop, 22262.00000000
Tempo por Loop, 25788.00000000
Tempo por Loop, 22766.00000000
Tempo por Loop, 24833.00000000
Tempo por Loop, 22297.00000000
Tempo por Loop, 21189.00000000
Tempo por Loop, 26178.00000000
Tempo por Loop, 22307.00000000
Tempo por Loop, 20804.00000000
Tempo por Loop, 20575.00000000
Tempo por Loop, 27259.00000000
Tempo por Loop, 22142.00000000
Tempo por Loop, 20349.00000000
Tempo por Loop, 25381.00000000
Tempo por Loop, 21369.00000000
Tempo por Loop, 25664.00000000
Tempo por Loop, 21002.00000000
Tempo por Loop, 22458.00000000
Tempo por Loop, 24716.00000000
Tempo por Loop, 23551.00000000
Tempo por Loop, 23203.00000000
Tempo por Loop, 24389.00000000
Tempo por Loop, 30008.00000000
Tempo por Loop, 20919.00000000
Tempo por Loop, 26214.00000000
Tempo por Loop, 22951.00000000
Tempo por Loop, 21856.00000000
Tempo por Loop, 25759.00000000
Tempo por Loop, 23031.00000000
Tempo por Loop, 20588.00000000
Tempo por Loop, 24863.00000000
Tempo por Loop, 22602.00000000
Tempo por Loop, 30651.00000000
Tempo por Loop, 24416.00000000
Tempo por Loop, 24331.00000000
Tempo por Loop, 23122.00000000
Tempo por Loop, 21544.00000000
Tempo por Loop, 26743.00000000
Tempo por Loop, 22482.00000000
Tempo por Loop, 24949.00000000
Tempo por Loop, 24068.00000000
Tempo por Loop, 21359.00000000
Tempo por Loop, 22784.00000000
Tempo por Loop, 24309.00000000
Tempo por Loop, 22976.00000000
Tempo por Loop, 38318.00000000
Tempo por Loop, 22155.00000000
Tempo por Loop, 23430.00000000
Tempo por Loop, 24722.00000000
Tempo por Loop, 22720.00000000
Tempo por Loop, 21420.00000000
Tempo por Loop, 22816.00000000
Tempo por Loop, 25431.00000000
Tempo por Loop, 20693.00000000
Tempo por Loop, 20650.00000000
Tempo por Loop, 25424.00000000
Tempo por Loop, 22972.00000000
Tempo por Loop, 20461.00000000
Tempo por Loop, 26457.00000000
Tempo por Loop, 22730.00000000
Tempo por Loop, 24329.00000000
Tempo por Loop, 22898.00000000
Tempo por Loop, 21724.00000000
Tempo por Loop, 26336.00000000
Tempo por Loop, 22717.00000000
Tempo por Loop, 21522.00000000
Tempo por Loop, 22155.00000000
Tempo por Loop, 23770.00000000
Tempo por Loop, 22230.00000000
Tempo por Loop, 24095.00000000
Tempo por Loop, 24514.00000000
Tempo por Loop, 21937.00000000
Tempo por Loop, 23892.00000000
Tempo por Loop, 23153.00000000
Tempo por Loop, 20911.00000000
Tempo por Loop, 32959.00000000
Tempo por Loop, 23544.00000000
Tempo por Loop, 21242.00000000
Tempo por Loop, 23153.00000000
Tempo por Loop, 24486.00000000
Tempo por Loop, 22318.00000000
Tempo por Loop, 24568.00000000
Tempo por Loop, 23438.00000000
Tempo por Loop, 21130.00000000
Tempo por Loop, 25796.00000000
Tempo por Loop, 30472.00000000
Tempo por Loop, 22021.00000000
Tempo por Loop, 29056.00000000
Tempo por Loop, 20884.00000000
Tempo por Loop, 22696.00000000
Tempo por Loop, 21635.00000000
Tempo por Loop, 26037.00000000
Tempo por Loop, 23983.00000000
Tempo por Loop, 25072.00000000
Tempo por Loop, 22545.00000000
Tempo por Loop, 21927.00000000
Tempo por Loop, 25726.00000000
Tempo por Loop, 32272.00000000
Tempo por Loop, 21292.00000000
Tempo por Loop, 25605.00000000
Tempo por Loop, 21112.00000000
Tempo por Loop, 23803.00000000
Tempo por Loop, 24175.00000000
Tempo por Loop, 23067.00000000
Tempo por Loop, 22355.00000000
Tempo por Loop, 24718.00000000
Tempo por Loop, 21882.00000000
Tempo por Loop, 20748.00000000
Tempo por Loop, 25791.00000000
Tempo por Loop, 22705.00000000
Tempo por Loop, 20808.00000000
Tempo por Loop, 21808.00000000
Tempo por Loop, 23939.00000000
Tempo por Loop, 22928.00000000
Tempo por Loop, 25581.00000000
Tempo por Loop, 23037.00000000
Tempo por Loop, 22156.00000000
Tempo por Loop, 23915.00000000
Tempo por Loop, 22079.00000000
Tempo por Loop, 20688.00000000
Tempo por Loop, 21942.00000000
Tempo por Loop, 23567.00000000
Tempo por Loop, 22222.00000000
Tempo por Loop, 25816.00000000
Tempo por Loop, 21528.00000000
Tempo por Loop, 23322.00000000
Tempo por Loop, 25662.00000000
Tempo por Loop, 23895.00000000
Tempo por Loop, 31508.00000000
Tempo por Loop, 25112.00000000
Tempo por Loop, 23750.00000000
Tempo por Loop, 20779.00000000
Tempo por Loop, 29376.00000000
Tempo por Loop, 26369.00000000
Tempo por Loop, 22121.00000000
Tempo por Loop, 23461.00000000
Tempo por Loop, 24159.00000000
Tempo por Loop, 23433.00000000
Tempo por Loop, 20532.00000000
Tempo por Loop, 26190.00000000
Tempo por Loop, 21563.00000000
Tempo por Loop, 26697.00000000
Tempo por Loop, 23710.00000000
Tempo por Loop, 21721.00000000
Tempo por Loop, 22259.00000000
Tempo por Loop, 25047.00000000
Tempo por Loop, 22862.00000000
Tempo por Loop, 24204.00000000
Tempo por Loop, 22647.00000000
Tempo por Loop, 22671.00000000
Tempo por Loop, 21444.00000000
Tempo por Loop, 26132.00000000
Tempo por Loop, 20803.00000000
Tempo por Loop, 25788.00000000
Tempo por Loop, 24343.00000000
Tempo por Loop, 21514.00000000
Tempo por Loop, 26328.00000000
Tempo por Loop, 21912.00000000
Tempo por Loop, 21527.00000000
Tempo por Loop, 24774.00000000
Tempo por Loop, 22608.00000000
Tempo por Loop, 22711.00000000
Tempo por Loop, 24110.00000000
Tempo por Loop, 22714.00000000
Tempo por Loop, 21602.00000000
Tempo por Loop, 33942.00000000
Tempo por Loop, 21920.00000000
Tempo por Loop, 22098.00000000
Tempo por Loop, 24365.00000000
Tempo por Loop, 24906.00000000
Tempo por Loop, 23214.00000000
Tempo por Loop, 24669.00000000
Tempo por Loop, 23149.00000000
Tempo por Loop, 22240.00000000
Tempo por Loop, 26878.00000000
Tempo por Loop, 22521.00000000
Tempo por Loop, 22134.00000000
Tempo por Loop, 26887.00000000
Tempo por Loop, 22114.00000000
Tempo por Loop, 21128.00000000
Tempo por Loop, 24302.00000000
