function,function,time_us
,time_us
Tempo por Loop, 39918.00000000
Tempo por Loop, 39793.00000000
Tempo por Loop, 38051.00000000
Tempo por Loop, 39357.00000000
Tempo por Loop, 40415.00000000
Tempo por Loop, 39161.00000000
Tempo por Loop, 39344.00000000
Tempo por Loop, 39608.00000000
Tempo por Loop, 37898.00000000
Tempo por Loop, 40554.00000000
Tempo por Loop, 39762.00000000
Tempo por Loop, 37863.00000000
Tempo por Loop, 40772.00000000
Tempo por Loop, 38788.00000000
Tempo por Loop, 40224.00000000
Tempo por Loop, 37886.00000000
Tempo por Loop, 50256.00000000
Tempo por Loop, 60579.00000000
Tempo por Loop, 42728.00000000
Tempo por Loop, 42981.00000000
Tempo por Loop, 39943.00000000
Tempo por Loop, 39650.00000000
Tempo por Loop, 40395.00000000
Tempo por Loop, 40164.00000000
Tempo por Loop, 39576.00000000
Tempo por Loop, 40134.00000000
Tempo por Loop, 39861.00000000
Tempo por Loop, 39594.00000000
Tempo por Loop, 41556.00000000
Tempo por Loop, 40802.00000000
Tempo por Loop, 38991.00000000
Tempo por Loop, 40830.00000000
Tempo por Loop, 38313.00000000
Tempo por Loop, 41079.00000000
Tempo por Loop, 39662.00000000
Tempo por Loop, 38411.00000000
Tempo por Loop, 42964.00000000
Tempo por Loop, 39515.00000000
Tempo por Loop, 38533.00000000
Tempo por Loop, 39119.00000000
Tempo por Loop, 40781.00000000
Tempo por Loop, 40215.00000000
Tempo por Loop, 38155.00000000
Tempo por Loop, 41697.00000000
Tempo por Loop, 39732.00000000
Tempo por Loop, 41161.00000000
Tempo por Loop, 40285.00000000
Tempo por Loop, 117101.00000000
Tempo por Loop, 56069.00000000
Tempo por Loop, 44923.00000000
Tempo por Loop, 54673.00000000
Tempo por Loop, 62917.00000000
Tempo por Loop, 45637.00000000
Tempo por Loop, 43384.00000000
Tempo por Loop, 44115.00000000
Tempo por Loop, 43685.00000000
Tempo por Loop, 43415.00000000
Tempo por Loop, 43704.00000000
Tempo por Loop, 42629.00000000
Tempo por Loop, 42815.00000000
Tempo por Loop, 46794.00000000
Tempo por Loop, 43535.00000000
Tempo por Loop, 43100.00000000
Tempo por Loop, 46159.00000000
Tempo por Loop, 42444.00000000
Tempo por Loop, 44062.00000000
Tempo por Loop, 44207.00000000
Tempo por Loop, 43279.00000000
Tempo por Loop, 46482.00000000
