function,function,time_us
,time_us
Tempo por Loop, 15186.00000000
Tempo por Loop, 14163.00000000
Tempo por Loop, 13973.00000000
Tempo por Loop, 14787.00000000
Tempo por Loop, 14762.00000000
Tempo por Loop, 14081.00000000
Tempo por Loop, 14864.00000000
Tempo por Loop, 13900.00000000
Tempo por Loop, 12089.00000000
Tempo por Loop, 15820.00000000
Tempo por Loop, 13657.00000000
Tempo por Loop, 12330.00000000
Tempo por Loop, 17940.00000000
Tempo por Loop, 13972.00000000
Tempo por Loop, 13909.00000000
Tempo por Loop, 12434.00000000
Tempo por Loop, 28278.00000000
Tempo por Loop, 17783.00000000
Tempo por Loop, 12354.00000000
Tempo por Loop, 14630.00000000
Tempo por Loop, 13981.00000000
Tempo por Loop, 13734.00000000
Tempo por Loop, 14463.00000000
Tempo por Loop, 13692.00000000
Tempo por Loop, 13682.00000000
Tempo por Loop, 14598.00000000
Tempo por Loop, 13681.00000000
Tempo por Loop, 12281.00000000
Tempo por Loop, 15904.00000000
Tempo por Loop, 13901.00000000
Tempo por Loop, 12190.00000000
Tempo por Loop, 16177.00000000
Tempo por Loop, 12521.00000000
Tempo por Loop, 14950.00000000
Tempo por Loop, 12636.00000000
Tempo por Loop, 13522.00000000
Tempo por Loop, 14587.00000000
Tempo por Loop, 13734.00000000
Tempo por Loop, 12468.00000000
Tempo por Loop, 13443.00000000
Tempo por Loop, 14859.00000000
Tempo por Loop, 13789.00000000
Tempo por Loop, 14500.00000000
Tempo por Loop, 14923.00000000
Tempo por Loop, 13567.00000000
Tempo por Loop, 14385.00000000
Tempo por Loop, 13538.00000000
Tempo por Loop, 13084.00000000
Tempo por Loop, 14297.00000000
Tempo por Loop, 13298.00000000
Tempo por Loop, 13793.00000000
Tempo por Loop, 12645.00000000
Tempo por Loop, 14388.00000000
Tempo por Loop, 14107.00000000
Tempo por Loop, 15740.00000000
Tempo por Loop, 13743.00000000
Tempo por Loop, 12169.00000000
Tempo por Loop, 15880.00000000
Tempo por Loop, 12657.00000000
Tempo por Loop, 11932.00000000
Tempo por Loop, 14843.00000000
Tempo por Loop, 13739.00000000
Tempo por Loop, 12119.00000000
Tempo por Loop, 16089.00000000
Tempo por Loop, 12162.00000000
Tempo por Loop, 13444.00000000
Tempo por Loop, 14406.00000000
Tempo por Loop, 13678.00000000
Tempo por Loop, 16399.00000000
Tempo por Loop, 14702.00000000
Tempo por Loop, 18700.00000000
Tempo por Loop, 13955.00000000
Tempo por Loop, 14804.00000000
Tempo por Loop, 13596.00000000
Tempo por Loop, 13843.00000000
Tempo por Loop, 21856.00000000
Tempo por Loop, 14341.00000000
Tempo por Loop, 15557.00000000
Tempo por Loop, 17634.00000000
Tempo por Loop, 12867.00000000
Tempo por Loop, 14066.00000000
Tempo por Loop, 15839.00000000
Tempo por Loop, 12635.00000000
Tempo por Loop, 12460.00000000
Tempo por Loop, 16057.00000000
Tempo por Loop, 13568.00000000
Tempo por Loop, 12375.00000000
Tempo por Loop, 15888.00000000
Tempo por Loop, 14051.00000000
Tempo por Loop, 12819.00000000
Tempo por Loop, 12296.00000000
Tempo por Loop, 26154.00000000
Tempo por Loop, 12668.00000000
Tempo por Loop, 15061.00000000
Tempo por Loop, 12817.00000000
Tempo por Loop, 14184.00000000
Tempo por Loop, 14639.00000000
Tempo por Loop, 14067.00000000
Tempo por Loop, 12654.00000000
Tempo por Loop, 16112.00000000
Tempo por Loop, 14013.00000000
Tempo por Loop, 17820.00000000
Tempo por Loop, 15147.00000000
Tempo por Loop, 16742.00000000
Tempo por Loop, 16149.00000000
Tempo por Loop, 15937.00000000
Tempo por Loop, 14118.00000000
Tempo por Loop, 13646.00000000
Tempo por Loop, 14662.00000000
Tempo por Loop, 14188.00000000
Tempo por Loop, 12157.00000000
Tempo por Loop, 15527.00000000
Tempo por Loop, 13715.00000000
Tempo por Loop, 12369.00000000
Tempo por Loop, 15752.00000000
Tempo por Loop, 12470.00000000
Tempo por Loop, 13555.00000000
Tempo por Loop, 12654.00000000
Tempo por Loop, 15520.00000000
Tempo por Loop, 14684.00000000
Tempo por Loop, 14928.00000000
Tempo por Loop, 13631.00000000
Tempo por Loop, 12292.00000000
Tempo por Loop, 16498.00000000
Tempo por Loop, 12766.00000000
Tempo por Loop, 21516.00000000
Tempo por Loop, 14420.00000000
Tempo por Loop, 14813.00000000
